"","Species_Name","Country","TwentyYearTotal","Rank"
"239","Tropical spiny lobsters nei","Guatemala",3,569
"374","Marine crustaceans nei","Mexico",3,570
"407","Slipper lobsters nei","New Zealand",3,571
"519","Spinous spider crab","Serbia and Montenegro",3,572
"573","Shamefaced crab","Spain",3,573
"585","Craylets, squat lobsters nei","Sweden",2.31,574
"572","Rugose squat lobster","Spain",2.24,575
"592","Stone king crab","Sweden",2.22,576
"83","Marine crabs nei","Channel Islands",2,577
"145","Marine crustaceans nei","Denmark",2,578
"576","Spiny lobsters nei","Spain",1.86,579
"551","Deep-sea red crab","Spain",1.79,580
"141","Slipper lobsters nei","Cyprus",1.69,581
"566","Mediterranean slipper lobster","Spain",1.49,582
"300","Portunus swimcrabs nei","Italy",1.4,583
"477","Ridged slipper lobster","Puerto Rico",1.39,584
"560","Lesser slipper lobster","Spain",1.39,585
"570","Portunus swimcrabs nei","Spain",1.37,586
"155","Giant swimcrab","Ecuador",1.34,587
"557","King crabs nei","Spain",1.28,588
"159","Mouthless land crab","Ecuador",1.21,589
"589","Marine crabs nei","Sweden",1.21,590
"588","Green crab","Sweden",1.18,591
"636","Antarctic stone crab","United Kingdom",1.05,592
"472","Batwing coral crab","Puerto Rico",1.01,593
"137","Marine crustaceans nei","Cyprus",1,594
"237","Caribbean spiny lobster","Guatemala",1,595
"435","Palinurid spiny lobsters nei","Other nei",1,596
"498","Slipper lobsters nei","Saint Helena/Asc./Trist.",1,597
"531","Antarctic stone crab","South Africa",1,598
"584","Blue-leg swimcrab","Sweden",0.9,599
"555","Homarus lobsters nei","Spain",0.78,600
"558","King crabs, stone crabs nei","Spain",0.78,601
"136","Marine crabs nei","Cyprus",0.53,602
"421","Slipper lobsters nei","Northern Mariana Is.",0.52,603
"123","Blue crab","Croatia",0.5,604
"355","Mediterranean slipper lobster","Malta",0.49,605
"282","Swimming crabs, etc. nei","Ireland",0.39,606
"478","Spanish slipper lobster","Puerto Rico",0.22,607
"150","Painted spiny lobster","Djibouti",0.2,608
"269","Craylets, squat lobsters nei","Ireland",0.16,609
"160","Pronghorn spiny lobster","Ecuador",0.15,610
"529","Warty crab","Slovenia",0.14,611
"126","Lesser slipper lobster","Croatia",0.13,612
"70","Warty crab","Bulgaria",0.12,613
"28","King crabs, stone crabs nei","Australia",0.1,614
"294","Green crab","Italy",0.1,615
"161","Southern king crab","Ecuador",0.08,616
"352","Edible crab","Malta",0.08,617
"353","European lobster","Malta",0.08,618
"502","Marine crabs nei","Saint Kitts and Nevis",0.08,619
"476","Marine crustaceans nei","Puerto Rico",0.06,620
"235","Marine crabs nei","Guam",0.05,621
"283","Tanner crabs nei","Ireland",0.05,622
"574","Slipper lobsters nei","Spain",0.05,623
"9","Marine crabs nei","American Samoa",0.04,624
"310","King crabs, stone crabs nei","Japan",0.04,625
"369","Spiny lobsters nei","Mayotte",0.04,626
"643","King crabs","United Kingdom",0.04,627
"684","King crabs, stone crabs nei","Uruguay",0.04,628
"357","Spinous spider crab","Malta",0.03,629
"10","Slipper lobsters nei","American Samoa",0.02,630
"544","Antarctic stone crab","Spain",0.02,631
"627","King crabs, stone crabs nei","Ukraine",0.02,632
"692","Spanish slipper lobster","US Virgin Islands",0.02,633
"540","Slipper lobsters nei","South Africa",0.01,634
"559","Knobby swimcrab","Spain",0.01,635
"579","West african fiddler crab","Spain",0.01,636
"5","European lobster","Algeria",0,637
"15","Tropical spiny lobsters nei","Angola",0,638
"40","Marine crustaceans nei","Barbados",0,639
"60","Tropical spiny lobsters nei","Brazil",0,640
"66","King crabs","Bulgaria",0,641
"67","Marine crustaceans nei","Bulgaria",0,642
"68","Subantarctic stone crab","Bulgaria",0,643
"69","Tropical spiny lobsters nei","Bulgaria",0,644
"105","Tropical spiny lobsters nei","China, Hong Kong SAR",0,645
"139","Norway lobster","Cyprus",0,646
"151","Tropical spiny lobsters nei","Djibouti",0,647
"163","Blue swimming crab","Egypt",0,648
"173","Chinese mitten crab","Estonia",0,649
"197","Portunus swimcrabs nei","France",0,650
"199","Southern spiny lobster","France",0,651
"211","Andaman lobster","Germany",0,652
"217","Marine crustaceans nei","Germany",0,653
"242","Palinurid spiny lobsters nei","Guinea-Bissau",0,654
"247","Marine crustaceans nei","Honduras",0,655
"279","Portunus swimcrabs nei","Ireland",0,656
"297","Mediterranean shore crab","Italy",0,657
"299","Palinurid spiny lobsters nei","Italy",0,658
"302","Tropical spiny lobsters nei","Italy",0,659
"304","Marine crabs nei","Jamaica",0,660
"308","King crabs","Japan",0,661
"309","King crabs nei","Japan",0,662
"314","Red king crab","Japan",0,663
"316","Subantarctic stone crab","Japan",0,664
"318","Tropical spiny lobsters nei","Japan",0,665
"325","Antarctic stone crab","Korea, Republic of",0,666
"327","King crabs","Korea, Republic of",0,667
"328","King crabs, stone crabs nei","Korea, Republic of",0,668
"343","Marine crabs nei","Lithuania",0,669
"348","Marine crustaceans nei","Malaysia",0,670
"358","Indo-Pacific swamp crab","Marshall Islands",0,671
"359","Tropical spiny lobsters nei","Marshall Islands",0,672
"406","Red stone crab","New Zealand",0,673
"409","Subantarctic stone crab","New Zealand",0,674
"419","Marine crustaceans nei","Nigeria",0,675
"423","Craylets, squat lobsters nei","Norway",0,676
"434","Marine crustaceans nei","Other nei",0,677
"439","Marine crabs nei","Palau",0,678
"482","Marine crustaceans nei","Romania",0,679
"495","Subantarctic stone crab","Russian Federation",0,680
"497","Tropical spiny lobsters nei","Russian Federation",0,681
"500","Tropical spiny lobsters nei","Saint Helena/Asc./Trist.",0,682
"503","Marine crustaceans nei","Saint Kitts and Nevis",0,683
"523","Marine crustaceans nei","Sierra Leone",0,684
"533","King crabs nei","South Africa",0,685
"539","Red stone crab","South Africa",0,686
"543","American lobster","Spain",0,687
"545","Atlantic rock crab","Spain",0,688
"556","King crab","Spain",0,689
"608","Marine crustaceans nei","Togo",0,690
"625","Palinurid spiny lobsters nei","Türkiye",0,691
"630","Tropical spiny lobsters nei","Ukraine",0,692
"631","Marine crabs nei","Un. Sov. Soc. Rep.",0,693
"632","Marine crustaceans nei","Un. Sov. Soc. Rep.",0,694
"633","Red king crab","Un. Sov. Soc. Rep.",0,695
"634","Tropical spiny lobsters nei","Un. Sov. Soc. Rep.",0,696
"641","Globose king crab","United Kingdom",0,697
"652","Red stone crab","United Kingdom",0,698
"659","Antarctic stone crab","United States of America",0,699
"672","Marine crustaceans nei","United States of America",0,700
"679","Spotted spiny lobster","United States of America",0,701
"683","King crabs nei","Uruguay",0,702
"686","Red stone crab","Uruguay",0,703
"687","Southern king crab","Uruguay",0,704
"689","Subantarctic stone crab","Uruguay",0,705
"704","Marine crustaceans nei","Western Sahara",0,706
"705","Arabian whip lobster","Yemen",0,707
"708","European lobster","Yugoslavia SFR",0,708
"709","Norway lobster","Yugoslavia SFR",0,709
"710","Spinous spider crab","Yugoslavia SFR",0,710
